_id,餐廳編號,餐廳名稱,餐廳星級,餐廳評論數量,餐廳價格等級,餐廳類型,餐廳特色
,1,玉兔鉛筆學校-宜蘭觀光景點 好玩旅遊 親子DIY 踏青行程 觀光工廠 一日遊 人氣推薦 私房景點,沒有標示餐廳星級,沒有標示餐廳評論數量,沒有標示價格等級,沒有標示價格等級(路徑中沒東西),這座鉛筆工廠歷久不衰，提供製造過程的教育導覽。
,2,羅東鎮農會羅董養生觀光休閒驛站#宜蘭觀光工廠#手做DIY,4.0,"1,544 則 Google 評論",沒有標示價格等級,位於羅東的觀光景點,提供美食實做體驗的店家，吸引了許多當地人和遊客走訪，店內另也有售豆漿和紀念品。
,3,宜蘭虎牌米粉那個年代觀光工廠,4.2,"3,250 則 Google 評論",沒有標示價格等級,旅遊景點,瀰漫懷舊氛圍的博物館，重現 70 年代的場景，並展出當地米粉品牌的歷史沿革。
,4,宜蘭餅-(宜蘭餅發明館)觀光工廠DIY,4.1,"8,497 則 Google 評論",沒有標示價格等級,旅遊景點,適合兒童
,5,Hsu’s Legend Factory Tour,4.0,"1,030 則 Google 評論",沒有標示價格等級,旅遊景點,適合兒童
,6,溪和食品有限公司-溪和觀光工廠,4.2,771 則 Google 評論,沒有標示價格等級,位於五結的觀光景點,適合兒童
,7,博士鴨觀光工廠,3.3,994 則 Google 評論,沒有標示價格等級,位於五結的觀光景點,適合兒童
,8,"台灣足鞋健康知識館-適合親子旅遊,宜蘭景點,校外教學,DIY手作體驗.腳ㄚ觀光工廠",4.2,424 則 Google 評論,沒有標示價格等級,位於五結的觀光景點,適合兒童
,9,綺麗珊瑚寶石觀光工廠,4.2,157 則 Google 評論,沒有標示價格等級,位於台灣的觀光農場,沒有標示餐廳特色
,10,亞典蛋糕密碼館,4.0,"9,913 則 Google 評論",沒有標示價格等級,旅遊景點,專售歐式蛋糕和甜品的烘焙坊，設有開放式廚房和商店，另提供試吃。
,11,奇麗灣珍奶文化館,4.1,"11,600 則 Google 評論",沒有標示價格等級,位於台灣的觀光景點,適合兒童
,12,一米特創藝美食館,3.8,"3,504 則 Google 評論",沒有標示價格等級,旅遊景點,適合兒童
,13,橘之鄉蜜餞形象館,4.0,"1,958 則 Google 評論",沒有標示價格等級,位於宜蘭的觀光景點,蜜餞公司的博物館和工廠，設有受歡迎的咖啡廳及 DIY 體驗活動。
,14,蜡藝蠟筆城堡,4.1,"8,557 則 Google 評論",沒有標示價格等級,位於蘇澳的景點,沒有標示餐廳特色
,15,菌寶貝博物館,4.4,"1,890 則 Google 評論",沒有標示價格等級,位於宜蘭的觀光景點,適合兒童
,16,安永心食館,4.3,"2,274 則 Google 評論",沒有標示價格等級,旅遊景點,適合兒童
,17,莎貝莉娜精靈印畫學院 SABELINA(全世界水晶印章發源地...手作水晶印章印畫DIY,4.3,"2,055 則 Google 評論",沒有標示價格等級,位於宜蘭的觀光景點,適合兒童
,18,積木博物館 Brick Ark Museum,4.2,"8,026 則 Google 評論",沒有標示價格等級,位於宜蘭的博物館,展出樂高雕塑的博物館，從超級英雄到巨型海龜應有盡有，另提供 DIY 活動。
,19,菓風糖果工房,3.8,"1,531 則 Google 評論",沒有標示價格等級,旅遊景點,適合兒童
,20,美拍玩很大 OMG!畫框博物館,4.5,"1,537 則 Google 評論",沒有標示價格等級,位於台灣的觀光景點,收藏藝術畫框和畫作的新奇景點，館內的每面牆上都掛著華麗的畫框。
,21,香草菲菲 芳香植物博物館,3.8,"1,627 則 Google 評論",沒有標示價格等級,博物館,通風溫室和博物館，有各種植物、互動式自然展覽和自助餐廳。
,22,橘之鄉蜜餞觀光工廠,4.0,703 則 Google 評論,沒有標示價格等級,食品供應商,沒有標示餐廳特色
,23,甲子蘭酒文物館,3.8,"4,455 則 Google 評論",沒有標示價格等級,位於宜蘭的博物館,沒有標示餐廳特色
,24,鴨寮故事館,4.1,"1,006 則 Google 評論",沒有標示價格等級,位於台灣的觀光景點,適合兒童
,25,養蜂人家蜂采館,4.1,"1,930 則 Google 評論",沒有標示價格等級,養蜂農場,沒有標示餐廳特色
,26,宜蘭忍者村 NINJA TOTOLO (2020礁溪景點 龍潭湖旁 推薦必玩 宜蘭新景點 忍者陀陀螺 手裏劍忍者道場),4.4,"1,282 則 Google 評論",沒有標示價格等級,位於台灣的觀光景點,適合兒童
,27,綺麗珊瑚博物館,4.1,952 則 Google 評論,沒有標示價格等級,位於台灣的博物館,適合兒童
,28,邱比準 Cupishoot 射擊博物館,4.5,"1,984 則 Google 評論",沒有標示價格等級,位於台灣的觀光景點,適合兒童
